segment,product_name,category,P,H,C,L,R,prompt,marketing_copy,
Segment 3,FitTrack Smartwatch,Health & Fitness,0,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Price
- Preferred channel: Phone
- Product preference: Automotive
- Personality: Spontaneous

Product:
- Name: FitTrack Smartwatch
- Category: Health & Fitness
- Features: Heart rate monitor, sleep tracking, calorie counter, Bluetooth connectivity

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock the ultimate luxury of health with the FitTrack Smartwatch,
designed for those who crave spontaneity and excellence. Experience real-time
heart rate monitoring, sleep tracking, and calorie counting—all at your
fingertips and seamlessly connected via Bluetooth. Call us today to
discover how you can elevate your lifestyle while staying on
top of your fitness goals!",
Segment 3,EduMentor AI Learning Platform,Education / Tech,1,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Price
- Preferred channel: Phone
- Product preference: Automotive
- Personality: Spontaneous

Product:
- Name: EduMentor AI Learning Platform
- Category: Education / Tech
- Features: Adaptive learning, personalized recommendations, gamified quizzes

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock the future of learning with the EduMentor AI Learning
Platform—your personal education concierge! Designed for those who value excellence
and spontaneity, our adaptive learning system delivers tailored recommendations and
gamified quizzes that fit your dynamic lifestyle. Ready to elevate
your knowledge on the go? Call us today for a
premium experience that’s as luxurious as your ride!",
Segment 4,FitTrack Smartwatch,Health & Fitness,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Innovation
- Preferred channel: Phone
- Product preference: Automotive
- Personality: Conscientious

Product:
- Name: FitTrack Smartwatch
- Category: Health & Fitness
- Features: Heart rate monitor, sleep tracking, calorie counter, Bluetooth connectivity

Output: A short, engaging ad copy (2–3 sentences).
    ","Stay connected to your family's health and wellness with the
FitTrack Smartwatch! Designed for conscientious parents like you, this innovative
device seamlessly tracks heart rates, sleep patterns, and calories, all
while keeping you in touch through Bluetooth connectivity. Elevate your
family’s fitness journey today—because every heartbeat matters!",No privacy concern
Segment 4,LuxSkin Anti-Aging Serum,Beauty & Wellness,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Innovation
- Preferred channel: Phone
- Product preference: Automotive
- Personality: Conscientious

Product:
- Name: LuxSkin Anti-Aging Serum
- Category: Beauty & Wellness
- Features: Vitamin C, retinol blend, dermatologist-tested, subscription delivery

Output: A short, engaging ad copy (2–3 sentences).
    ","Transform your family's wellness routine with LuxSkin Anti-Aging Serum, where
innovation meets care. Our dermatologist-tested formula combines Vitamin C and
retinol to rejuvenate your skin, ensuring you feel confident and
radiant. Enjoy the convenience of subscription delivery—because taking care of
yourself should be as effortless as it is effective!",No privacy concern
Segment 4,PetPal Automatic Feeder,Pet Tech,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Innovation
- Preferred channel: Phone
- Product preference: Automotive
- Personality: Conscientious

Product:
- Name: PetPal Automatic Feeder
- Category: Pet Tech
- Features: Smart schedule, camera access, portion control, mobile app alerts

Output: A short, engaging ad copy (2–3 sentences).
    ","Keep your furry family members happy and healthy with the
PetPal Automatic Feeder! With smart scheduling, real-time camera access, and
precise portion control, you can ensure your pets are well-fed,
even on your busiest days. Enjoy peace of mind with
mobile app alerts, all from your phone—because caring for your
pets should be as innovative and effortless as possible.",
Segment 4,QuickCart+ Grocery App,Retail / eCommerce,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Innovation
- Preferred channel: Phone
- Product preference: Automotive
- Personality: Conscientious

Product:
- Name: QuickCart+ Grocery App
- Category: Retail / eCommerce
- Features: One-hour delivery, smart reordering, loyalty rewards, app-exclusive deals

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey there, family champions! With QuickCart+, you can revolutionize your
grocery shopping with innovative one-hour delivery and smart reordering that
fits seamlessly into your busy life. Enjoy app-exclusive deals and
loyalty rewards that make every trip to the grocery store
a breeze—because your family deserves the best, delivered quickly and
effortlessly. Download QuickCart+ today!",
Segment 5,EduMentor AI Learning Platform,Education / Tech,0,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Innovation
- Preferred channel: In-store
- Product preference: Groceries
- Personality: Social

Product:
- Name: EduMentor AI Learning Platform
- Category: Education / Tech
- Features: Adaptive learning, personalized recommendations, gamified quizzes

Output: A short, engaging ad copy (2–3 sentences).
    ","Ready to elevate your adventure in learning? With the EduMentor
AI Learning Platform, you'll unlock a world of innovation tailored
just for you—think adaptive lessons, personalized recommendations, and gamified quizzes
that make education a social experience! Visit us in-store to
discover how you can transform your learning journey today!",
Segment 5,EcoBrew Reusable Coffee Cup,Sustainability / Lifestyle,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Innovation
- Preferred channel: In-store
- Product preference: Groceries
- Personality: Social

Product:
- Name: EcoBrew Reusable Coffee Cup
- Category: Sustainability / Lifestyle
- Features: BPA-free, temperature control, made from recycled materials, customizable design

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock your adventurous spirit with the EcoBrew Reusable Coffee Cup!
Perfect for the trail or café, this innovative cup keeps
your brew hot while showcasing your unique style with customizable
designs. Join fellow adventurers in making a sustainable choice—grab yours
in-store today and sip with purpose!",
Segment 5,PetPal Automatic Feeder,Pet Tech,0,1,0,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Innovation
- Preferred channel: In-store
- Product preference: Groceries
- Personality: Social

Product:
- Name: PetPal Automatic Feeder
- Category: Pet Tech
- Features: Smart schedule, camera access, portion control, mobile app alerts

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey there, adventurer! Fuel your pet’s adventures with the PetPal
Automatic Feeder, the innovative way to keep their meals on
schedule while you’re out exploring. With smart scheduling, camera access,
and mobile alerts, you’ll stay connected with your furry friend
and ensure they’re fed and happy—no matter where your next
journey takes you! Come see it in action at our
store today!",
Segment 5,HomeEase Smart Thermostat,Smart Home / Energy,0,1,0,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Innovation
- Preferred channel: In-store
- Product preference: Groceries
- Personality: Social

Product:
- Name: HomeEase Smart Thermostat
- Category: Smart Home / Energy
- Features: Remote control via app, energy optimization, voice assistant integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey Adventurer! Elevate your home experience with the HomeEase Smart
Thermostat, designed for those who crave innovation and efficiency. Control
your comfort from anywhere, optimize your energy usage, and enjoy
seamless voice assistant integration—all while you’re out exploring the world.
Stop by our store today and discover how easy it
is to bring smart living into your life!",
Segment 6,HomeEase Smart Thermostat,Smart Home / Energy,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Sustainability
- Preferred channel: Mobile app
- Product preference: Home & Garden
- Personality: Introverted

Product:
- Name: HomeEase Smart Thermostat
- Category: Smart Home / Energy
- Features: Remote control via app, energy optimization, voice assistant integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your sanctuary with the HomeEase Smart Thermostat, where luxury
meets sustainability. Control your home's climate effortlessly through our intuitive
mobile app, ensuring optimal comfort while minimizing your carbon footprint.
Embrace the serene lifestyle you deserve, all at your fingertips—because
your home should reflect not just elegance, but your values
too.",
Segment 6,TravelGo Insurance App,FinTech / Travel,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Sustainability
- Preferred channel: Mobile app
- Product preference: Home & Garden
- Personality: Introverted

Product:
- Name: TravelGo Insurance App
- Category: FinTech / Travel
- Features: Real-time claims, AI-based risk prediction, 24/7 support

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your travel experience with the TravelGo Insurance App—your luxury
companion for sustainable adventures. Enjoy peace of mind with real-time
claims, AI-driven risk predictions, and 24/7 support, all at your
fingertips. Immerse yourself in the beauty of exploration, knowing that
your journey is protected, so you can focus on what
truly matters—creating lasting memories.",
Segment 6,PetPal Automatic Feeder,Pet Tech,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Sustainability
- Preferred channel: Mobile app
- Product preference: Home & Garden
- Personality: Introverted

Product:
- Name: PetPal Automatic Feeder
- Category: Pet Tech
- Features: Smart schedule, camera access, portion control, mobile app alerts

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your pet care routine with the PetPal Automatic Feeder,
where luxury meets sustainability. Enjoy peace of mind with smart
scheduling and camera access, all at your fingertips through our
intuitive mobile app. Because your quiet moments should be spent
with your furry friend, not worrying about meal times.",
Segment 6,BookLoop Reading Subscription,Entertainment / Education,1,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Sustainability
- Preferred channel: Mobile app
- Product preference: Home & Garden
- Personality: Introverted

Product:
- Name: BookLoop Reading Subscription
- Category: Entertainment / Education
- Features: Curated book picks, community reviews, flexible membership tiers

Output: A short, engaging ad copy (2–3 sentences).
    ","Indulge your love for literature while embracing sustainability with BookLoop's
curated reading subscription. Discover thoughtfully selected titles that inspire and
enrich your home and garden, all while connecting with a
like-minded community through honest reviews—perfect for the introverted luxury-seeker in
you. Join us on our mobile app and elevate your
reading experience today!",
Segment 7,FitTrack Smartwatch,Health & Fitness,0,0,1,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Convenience
- Preferred channel: Social
- Product preference: Sports
- Personality: Spontaneous

Product:
- Name: FitTrack Smartwatch
- Category: Health & Fitness
- Features: Heart rate monitor, sleep tracking, calorie counter, Bluetooth connectivity

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock your fitness potential with the FitTrack Smartwatch! 🏃‍♂️✨ Designed
for the tech-savvy trendsetter, it effortlessly tracks your heart rate,
sleep patterns, and calories burned—all while keeping you connected through
Bluetooth. Stay spontaneous and seize every moment, knowing your health
is just a glance away!",
Segment 7,RoadRider E-Bike,Mobility / Green Tech,1,0,0,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Convenience
- Preferred channel: Social
- Product preference: Sports
- Personality: Spontaneous

Product:
- Name: RoadRider E-Bike
- Category: Mobility / Green Tech
- Features: Long battery life, fast charge, GPS tracking, smartphone integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock your spontaneous spirit with the RoadRider E-Bike! Designed for
the tech-savvy adventurer, this electric marvel boasts a long battery
life and rapid charging, letting you explore your city without
limits. Plus, with GPS tracking and seamless smartphone integration, convenience
is just a ride away—so hop on and hit the
road! 🌍⚡️ #RideGreen #StayConnected",
Segment 7,EcoBrew Reusable Coffee Cup,Sustainability / Lifestyle,0,0,1,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Convenience
- Preferred channel: Social
- Product preference: Sports
- Personality: Spontaneous

Product:
- Name: EcoBrew Reusable Coffee Cup
- Category: Sustainability / Lifestyle
- Features: BPA-free, temperature control, made from recycled materials, customizable design

Output: A short, engaging ad copy (2–3 sentences).
    ","🌍☕ Elevate your coffee game with the EcoBrew Reusable Coffee
Cup! Perfect for the tech-savvy adventurer, this customizable cup keeps
your brew at the ideal temperature while being kind to
the planet. Grab yours and sip sustainably, wherever your spontaneous
journeys take you! #EcoBrew #SustainableSips",
Segment 7,PetPal Automatic Feeder,Pet Tech,0,0,0,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Convenience
- Preferred channel: Social
- Product preference: Sports
- Personality: Spontaneous

Product:
- Name: PetPal Automatic Feeder
- Category: Pet Tech
- Features: Smart schedule, camera access, portion control, mobile app alerts

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey there, tech-savvy pet lover! 🐾 With the PetPal Automatic
Feeder, you can keep your furry friend fed and happy,
all while you're out living life to the fullest. Enjoy
the convenience of smart scheduling, real-time camera access, and mobile
alerts—because spontaneity shouldn't mean sacrificing your pet's care! 🌟",
Segment 8,HomeEase Smart Thermostat,Smart Home / Energy,1,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Homebody
- Primary value: Brand
- Preferred channel: In-store
- Product preference: Electronics
- Personality: Social

Product:
- Name: HomeEase Smart Thermostat
- Category: Smart Home / Energy
- Features: Remote control via app, energy optimization, voice assistant integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Transform your cozy sanctuary into a smart haven with the
HomeEase Smart Thermostat! Designed for those who value brand quality
and effortless elegance, our thermostat offers seamless remote control, energy
optimization, and voice assistant integration—all while you enjoy your favorite
activities at home. Visit us in-store to experience the future
of comfort and elevate your lifestyle!",
Segment 8,FitTrack Smartwatch,Health & Fitness,0,1,0,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Homebody
- Primary value: Brand
- Preferred channel: In-store
- Product preference: Electronics
- Personality: Social

Product:
- Name: FitTrack Smartwatch
- Category: Health & Fitness
- Features: Heart rate monitor, sleep tracking, calorie counter, Bluetooth connectivity

Output: A short, engaging ad copy (2–3 sentences).
    ","Step into the future of health and wellness with the
FitTrack Smartwatch, designed for those who love to stay cozy
at home but crave the perfect blend of social connection
and smart technology. With features like heart rate monitoring, sleep
tracking, and calorie counting, you can effortlessly keep your well-being
in check. Visit us in-store to discover how this stylish
companion can elevate your homebody lifestyle while keeping you connected!",
Segment 8,LuxSkin Anti-Aging Serum,Beauty & Wellness,0,1,0,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Homebody
- Primary value: Brand
- Preferred channel: In-store
- Product preference: Electronics
- Personality: Social

Product:
- Name: LuxSkin Anti-Aging Serum
- Category: Beauty & Wellness
- Features: Vitamin C, retinol blend, dermatologist-tested, subscription delivery

Output: A short, engaging ad copy (2–3 sentences).
    ","Transform your home into a sanctuary of self-care with LuxSkin
Anti-Aging Serum, specially crafted for those who cherish their space.
Our dermatologist-tested blend of Vitamin C and retinol delivers radiant
results, ensuring you glow inside and out. Visit us in-store
to experience the luxurious feel of LuxSkin and discover the
perfect addition to your beauty routine—because you deserve the best,
right at home!",
Segment 8,BookLoop Reading Subscription,Entertainment / Education,0,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Homebody
- Primary value: Brand
- Preferred channel: In-store
- Product preference: Electronics
- Personality: Social

Product:
- Name: BookLoop Reading Subscription
- Category: Entertainment / Education
- Features: Curated book picks, community reviews, flexible membership tiers

Output: A short, engaging ad copy (2–3 sentences).
    ","Transform your cozy home into a literary haven with BookLoop!
Discover curated book picks tailored just for you, engage with
our vibrant community through reviews, and choose from flexible membership
tiers that fit your lifestyle. Come visit us in-store and
let us help you find your next great read—and connect
with fellow book lovers!",
Segment 9,HomeEase Smart Thermostat,Smart Home / Energy,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Innovation
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Analytical

Product:
- Name: HomeEase Smart Thermostat
- Category: Smart Home / Energy
- Features: Remote control via app, energy optimization, voice assistant integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your game with the HomeEase Smart Thermostat, where innovation
meets convenience. Control your home’s climate remotely through our intuitive
app, optimize energy consumption, and enjoy seamless voice assistant integration—all
designed for the analytical mind. Experience the future of smart
living and stay ahead of the curve!",
Segment 9,PetPal Automatic Feeder,Pet Tech,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Innovation
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Analytical

Product:
- Name: PetPal Automatic Feeder
- Category: Pet Tech
- Features: Smart schedule, camera access, portion control, mobile app alerts

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your pet care with the PetPal Automatic Feeder—where innovation
meets convenience! Seamlessly manage feeding schedules, monitor mealtime with live
camera access, and ensure perfect portion control, all from your
mobile app. Because your tech-savvy lifestyle deserves a smart solution
for your furry friend!",No privacy concern
Segment 9,LuxSkin Anti-Aging Serum,Beauty & Wellness,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Innovation
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Analytical

Product:
- Name: LuxSkin Anti-Aging Serum
- Category: Beauty & Wellness
- Features: Vitamin C, retinol blend, dermatologist-tested, subscription delivery

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock the future of skincare with LuxSkin Anti-Aging Serum—where cutting-edge
innovation meets your analytical lifestyle. Packed with a powerful blend
of Vitamin C and retinol, our dermatologist-tested formula is delivered
right to your door through our seamless mobile app. Elevate
your beauty routine and experience the science of youth today!",
Segment 9,EduMentor AI Learning Platform,Education / Tech,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Innovation
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Analytical

Product:
- Name: EduMentor AI Learning Platform
- Category: Education / Tech
- Features: Adaptive learning, personalized recommendations, gamified quizzes

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock your potential with EduMentor AI Learning Platform! Tailored for
the tech-savvy learner, our innovative platform offers adaptive learning paths
and personalized recommendations to keep you ahead in sports education.
Dive into gamified quizzes that challenge your analytical mind while
making learning engaging and fun—right at your fingertips!",No privacy concern
Segment 10,FitTrack Smartwatch,Health & Fitness,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Budget-conscious
- Primary value: Innovation
- Preferred channel: Mobile app
- Product preference: Apparel
- Personality: Spontaneous

Product:
- Name: FitTrack Smartwatch
- Category: Health & Fitness
- Features: Heart rate monitor, sleep tracking, calorie counter, Bluetooth connectivity

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock your fitness journey with the FitTrack Smartwatch—where innovation meets
affordability! Track your heart rate, monitor your sleep, and count
calories effortlessly, all from your mobile app. Perfect for those
spontaneous adventures, this stylish smartwatch keeps you connected and on
top of your health goals without breaking the bank!",
