customer_id,segment,age,gender,income_usd,education,occupation,family_size,marital_status,country,city_type,climate_zone,latitude,longitude,lifestyle,personality,primary_value,purchase_frequency_per_month,avg_order_value_usd,total_orders,total_spent_usd,last_purchase_days_ago,preferred_channel,product_category_pref,customer_lifetime_value_usd,recency_days,frequency_orders,monetary_usd,device_pref,os,browser,internet_speed_mbps,primary_motivation,nps,csat_1_5,email_open_rate,app_usage_per_week,support_tickets_last_year,churn_risk,is_active,signup_date,last_login_date
CUST1030,Segment 31,50,Prefer not to say,8000,Associate,Executive,2,Single,India,Suburban,Mediterranean,45.1195,-84.1763,Luxury-seeker,Spontaneous,Convenience,2,28.26,136,3143.25,645,Phone,Apparel,3647.3,645,136,3143.25,Tablet,Linux,Firefox,33.1,Customer support,95,3.6,0.72,15,0,High,Yes,27/01/2025,19/01/2025
CUST1031,Segment 32,29,Male,64205,High School,Self-employed,2,Widowed,Germany,Urban,Mediterranean,39.4191,-84.0056,Adventurer,Analytical,Convenience,2,251.27,46,9414.51,250,In-store,Home & Garden,16094.51,250,46,9414.51,Tablet,Windows,Firefox,46.4,Status,45,2,0.66,12,0,Medium,Yes,17/03/2022,25/10/2024
CUST1032,Segment 33,75,Non-binary,66807,PhD,Student,2,Widowed,United States,Rural,Polar,59.9689,98.0809,Budget-conscious,Conscientious,Sustainability,2,22.73,104,2151.85,218,In-store,Electronics,6204.75,218,104,2151.85,Tablet,Windows,Other,30.2,Sustainability,12,3.9,0.71,26,0,Low,Yes,21/09/2025,30/04/2025
CUST1033,Segment 34,39,Non-binary,138897,Other,Unemployed,2,Single,Canada,Suburban,Arid,59.6301,56.2552,Adventurer,Social,Price,0,99.2,135,12190,406,Mobile app,Home & Garden,28489.8,406,135,12190,Mobile,Windows,Safari,42.3,Convenience,-18,1.4,0.01,14,0,Low,Yes,29/07/2024,28/12/2024
CUST1034,Segment 35,78,Non-binary,59229,PhD,Student,3,Widowed,Australia,Urban,Continental,11.0975,16.4583,Budget-conscious,Extroverted,Brand,1,18.69,151,3146.32,442,Social,Automotive,7416.95,442,151,3146.32,Tablet,macOS,Edge,2.7,Customer support,-58,1.8,0.22,23,2,Low,Yes,14/11/2024,07/06/2025
CUST1035,Segment 36,61,Male,74046,High School,Executive,1,Divorced,United States,Rural,Mediterranean,34.5886,-29.5275,Homebody,Spontaneous,Quality,0,113.66,86,11631.32,602,Mobile app,Books,20050.53,602,86,11631.32,Tablet,iOS,Firefox,55.3,Quality,15,4.5,0.66,15,1,Medium,Yes,24/01/2025,08/10/2024
CUST1036,Segment 37,42,Prefer not to say,63959,Other,Retired,4,Widowed,Germany,Urban,Temperate,53.9242,115.6162,Luxury-seeker,Extroverted,Brand,2,91.59,150,13030.73,353,In-store,Books,28502.4,353,150,13030.73,Desktop,Windows,Safari,50,Convenience,62,4,0.48,26,0,Medium,No,25/02/2025,17/12/2024
CUST1037,Segment 38,66,Male,29940,Bachelors,Unemployed,2,Married,United States,Rural,Temperate,43.4612,-20.1154,Family-oriented,Social,Convenience,1,35.96,89,3109.4,557,In-store,Beauty,3172.4,557,89,3109.4,Tablet,macOS,Edge,29.6,Status,-23,1.1,0.01,20,0,Low,Yes,20/08/2025,30/04/2025
CUST1038,Segment 39,44,Prefer not to say,99285,High School,Professional,5,Widowed,United Kingdom,Suburban,Continental,-22.7917,98.6478,Adventurer,Social,Sustainability,0,139.39,22,3489.51,549,Phone,Sports,7928.84,549,22,3489.51,Desktop,macOS,Firefox,66.5,Lowest price,-43,2,0.8,22,1,Medium,Yes,25/01/2025,29/09/2025
CUST1039,Segment 40,76,Male,87558,High School,Retired,2,Married,South Africa,Rural,Continental,-0.4401,-7.0422,Adventurer,Introverted,Convenience,3,65.16,92,5438.74,141,Social,Groceries,15373,141,92,5438.74,Mobile,Linux,Firefox,73.4,Lowest price,-68,1.9,0.77,23,0,Low,Yes,26/09/2025,06/08/2025
CUST1040,Segment 41,59,Non-binary,88731,PhD,Retired,5,Domestic partnership,South Africa,Rural,Continental,-35.7925,-24.4556,Adventurer,Analytical,Innovation,1,107.83,29,2697.26,611,Phone,Sports,6001.8,611,29,2697.26,Desktop,Android,Edge,9.8,Customer support,-87,2.1,0.55,8,1,High,Yes,16/10/2022,16/05/2025
CUST1041,Segment 42,45,Non-binary,37718,Masters,Professional,3,Divorced,Germany,Rural,Mediterranean,54.9456,-0.4497,Tech-savvy,Analytical,Convenience,2,19.97,13,296.28,500,Phone,Electronics,814,500,13,296.28,Tablet,Other,Other,30.9,Status,61,2,0.07,2,0,Low,Yes,23/10/2024,18/01/2025
CUST1042,Segment 43,77,Female,107084,PhD,Self-employed,5,Domestic partnership,United Kingdom,Rural,Temperate,16.6792,-45.6142,Luxury-seeker,Analytical,Quality,1,73.15,2,119.76,701,Mobile app,Apparel,293.17,701,2,119.76,Tablet,Android,Safari,30.8,Sustainability,88,1.3,0.77,18,1,High,Yes,26/08/2024,21/01/2025
CUST1043,Segment 44,33,Male,22944,PhD,Self-employed,4,Domestic partnership,Brazil,Urban,Continental,-24.8493,79.3306,Adventurer,Conscientious,Price,0,195.2,29,5931.84,546,Phone,Beauty,7362.11,546,29,5931.84,Desktop,Windows,Firefox,26.5,Sustainability,31,2.8,0.58,19,0,Medium,Yes,07/05/2021,25/07/2025
CUST1044,Segment 45,32,Male,82606,Associate,Unemployed,1,Widowed,South Africa,Rural,Mediterranean,23.8871,10.7617,Budget-conscious,Spontaneous,Price,1,132.78,180,24493.06,658,Online,Electronics,68700.75,658,180,24493.06,Tablet,Other,Edge,70.7,Novelty,-42,3.9,0.78,4,0,Low,Yes,06/09/2023,13/10/2024
CUST1045,Segment 46,79,Female,130714,High School,Retired,5,Widowed,Canada,Urban,Continental,17.9941,-64.9804,Family-oriented,Spontaneous,Innovation,2,93.46,27,2367.9,541,Online,Home & Garden,2682.56,541,27,2367.9,Desktop,iOS,Firefox,45.2,Status,56,3.4,0.75,9,0,Medium,Yes,23/10/2025,05/02/2025
CUST1046,Segment 47,79,Non-binary,35284,PhD,Unemployed,5,Widowed,South Africa,Rural,Temperate,-10.6021,121.8809,Health-conscious,Introverted,Quality,4,48.06,50,2225.36,506,Phone,Automotive,4601.9,506,50,2225.36,Tablet,Other,Edge,43.4,Status,-18,3.7,0.8,16,1,Low,Yes,04/02/2020,04/01/2025
CUST1047,Segment 48,64,Male,48011,High School,Self-employed,1,Domestic partnership,India,Rural,Temperate,-37.5087,-22.5105,Homebody,Extroverted,Sustainability,2,79.05,95,8326.38,595,Social,Home & Garden,10693.36,595,95,8326.38,Desktop,Other,Firefox,9.6,Novelty,33,1.3,0.52,14,0,High,Yes,14/04/2025,06/01/2025
CUST1048,Segment 49,79,Female,67990,Associate,Manager,4,Divorced,Brazil,Urban,Arid,23.8731,22.1948,Family-oriented,Introverted,Brand,1,86.85,151,10944.84,280,Phone,Electronics,11201.09,280,151,10944.84,Desktop,iOS,Chrome,65.9,Status,20,4.8,0.14,22,0,Medium,Yes,06/08/2025,18/03/2025
CUST1049,Segment 50,68,Male,49896,High School,Executive,2,Divorced,India,Suburban,Polar,7.2338,123.8122,Luxury-seeker,Introverted,Sustainability,2,101.95,88,8027.01,423,In-store,Automotive,14802.36,423,88,8027.01,Mobile,iOS,Other,19,Status,76,4.4,0.67,24,0,Medium,Yes,27/11/2022,30/11/2024
CUST1050,Segment 51,61,Prefer not to say,18480,PhD,Unemployed,5,Married,India,Suburban,Tropical,34.955,44.7866,Adventurer,Social,Brand,2,10.4,44,500.15,269,In-store,Books,795.28,269,44,500.15,Desktop,macOS,Safari,51.5,Novelty,67,4.2,0.62,7,0,Low,Yes,09/06/2024,02/11/2024
CUST1051,Segment 52,72,Non-binary,67057,High School,Unemployed,1,Single,Canada,Urban,Temperate,7.218,-97.2685,Luxury-seeker,Analytical,Price,2,115.1,22,2581.14,153,Social,Home & Garden,5090.01,153,22,2581.14,Desktop,macOS,Other,56.9,Customer support,-18,4.3,0.74,14,1,Medium,Yes,08/09/2024,20/10/2024
CUST1052,Segment 53,69,Prefer not to say,33131,Other,Manager,3,Divorced,United Kingdom,Rural,Tropical,43.74,133.153,Eco-friendly,Conscientious,Convenience,1,9.62,171,1400.23,613,Mobile app,Sports,3016.66,613,171,1400.23,Mobile,macOS,Other,84,Status,92,4.7,0.17,20,0,High,Yes,02/04/2025,17/09/2025
CUST1053,Segment 54,74,Non-binary,79208,Associate,Self-employed,1,Widowed,India,Suburban,Arid,10.7098,45.7583,Adventurer,Spontaneous,Convenience,6,172.87,165,32883.5,726,Online,Electronics,35760.09,726,165,32883.5,Tablet,Linux,Safari,17.3,Status,96,3.2,0.19,29,0,High,Yes,29/03/2024,30/12/2024
CUST1054,Segment 55,20,Female,37417,Masters,Unemployed,3,Married,Brazil,Rural,Polar,11.7032,-36.2264,Adventurer,Conscientious,Innovation,1,28.7,189,5193.11,661,Online,Electronics,6470.65,661,189,5193.11,Desktop,macOS,Other,3.2,Lowest price,-74,1.8,0.89,13,3,Low,Yes,08/03/2025,25/02/2025
CUST1055,Segment 56,54,Non-binary,111498,High School,Student,4,Widowed,South Africa,Urban,Mediterranean,46.4319,-91.0038,Luxury-seeker,Analytical,Sustainability,1,92.8,97,10182.14,82,Mobile app,Sports,21558.49,82,97,10182.14,Mobile,iOS,Chrome,54.6,Convenience,-21,3.5,0.75,19,1,Low,Yes,11/03/2021,04/04/2025
CUST1056,Segment 57,68,Non-binary,41502,PhD,Self-employed,2,Domestic partnership,Germany,Urban,Polar,-5.6169,92.3271,Adventurer,Analytical,Quality,0,135.31,184,27762.32,621,Phone,Apparel,46816.56,621,184,27762.32,Mobile,Other,Edge,95,Sustainability,33,4,0.91,27,0,Medium,Yes,05/05/2025,06/03/2025
CUST1057,Segment 58,24,Female,55338,Associate,Self-employed,1,Domestic partnership,Brazil,Suburban,Polar,-35.2583,43.6204,Tech-savvy,Spontaneous,Brand,0,59.86,3,188.52,425,Social,Groceries,463.45,425,3,188.52,Desktop,iOS,Safari,81,Convenience,-88,4,0.76,6,0,High,No,07/07/2021,07/10/2025
CUST1058,Segment 59,38,Non-binary,89406,PhD,Executive,5,Widowed,United States,Suburban,Mediterranean,-46.8339,19.3691,Family-oriented,Social,Convenience,2,95.44,191,18188.8,274,Phone,Sports,41917.6,274,191,18188.8,Tablet,Other,Edge,55.2,Customer support,-37,3.1,0.6,20,1,Medium,Yes,09/03/2024,27/04/2025
CUST1059,Segment 60,26,Male,28074,PhD,Unemployed,4,Divorced,South Africa,Rural,Arid,33.0651,120.2899,Eco-friendly,Extroverted,Innovation,0,161.11,118,22657.67,712,Mobile app,Books,60976.52,712,118,22657.67,Mobile,Android,Firefox,37.7,Customer support,89,1.3,0.65,22,0,High,Yes,20/04/2022,01/03/2025
CUST1060,Segment 61,56,Female,71824,High School,Retired,1,Single,Canada,Suburban,Continental,18.2341,90.8072,Family-oriented,Introverted,Sustainability,1,108.86,19,1774.61,283,Social,Books,4232.42,283,19,1774.61,Desktop,iOS,Chrome,70.2,Lowest price,46,2.5,0.89,11,1,High,Yes,02/05/2023,31/10/2024
CUST1061,Segment 62,35,Female,104214,PhD,Freelancer,5,Widowed,India,Urban,Polar,27.4488,-87.531,Health-conscious,Social,Quality,2,96.33,23,2415.13,172,Online,Home & Garden,4491.81,172,23,2415.13,Mobile,macOS,Edge,25.7,Quality,-21,4.7,0.58,16,0,Low,Yes,11/06/2023,19/01/2025
CUST1062,Segment 63,21,Female,16776,High School,Freelancer,1,Divorced,Germany,Urban,Polar,-26.5739,-42.7178,Luxury-seeker,Analytical,Price,2,18.74,157,2578.75,326,Online,Books,6049.58,326,157,2578.75,Tablet,macOS,Edge,61.9,Convenience,22,3.3,0.63,16,0,Medium,No,15/01/2025,18/09/2025
CUST1063,Segment 64,42,Prefer not to say,70539,Masters,Freelancer,3,Married,India,Urban,Arid,-34.9991,-60.423,Luxury-seeker,Analytical,Quality,0,18.98,30,532.56,717,Phone,Sports,825.87,717,30,532.56,Desktop,Other,Safari,62.6,Quality,-58,3.2,0.16,9,0,High,No,17/04/2025,27/11/2024
CUST1064,Segment 65,77,Prefer not to say,72796,Other,Executive,1,Widowed,Canada,Rural,Continental,-48.4001,78.305,Eco-friendly,Social,Price,1,137.82,39,4963.68,62,In-store,Beauty,8004.56,62,39,4963.68,Desktop,Windows,Firefox,76.5,Lowest price,-12,2.1,0.47,29,0,Low,Yes,09/05/2025,20/05/2025
CUST1065,Segment 66,31,Non-binary,88455,PhD,Freelancer,1,Married,Brazil,Suburban,Polar,-11.4354,-120.6109,Family-oriented,Introverted,Sustainability,5,109.2,108,13902.47,72,Mobile app,Apparel,35840.16,72,108,13902.47,Tablet,Linux,Safari,119,Sustainability,47,2.5,0.72,28,0,High,No,08/12/2021,22/05/2025
CUST1066,Segment 67,67,Female,27891,PhD,Manager,1,Divorced,United States,Rural,Polar,14.8909,29.5691,Family-oriented,Introverted,Quality,2,118.29,111,15584.78,635,Mobile app,Groceries,29499.48,635,111,15584.78,Tablet,iOS,Firefox,59.8,Quality,-6,4.6,0.27,18,0,Low,Yes,24/05/2022,01/08/2025
CUST1067,Segment 68,75,Non-binary,25386,PhD,Professional,4,Divorced,South Africa,Rural,Continental,-6.8532,83.4884,Health-conscious,Analytical,Innovation,4,113.12,25,2469.43,374,Phone,Home & Garden,6412.52,374,25,2469.43,Mobile,Linux,Safari,37.3,Lowest price,95,3.7,0.2,13,0,Low,Yes,30/08/2024,11/12/2024
CUST1068,Segment 69,26,Male,80658,Bachelors,Self-employed,1,Divorced,Brazil,Suburban,Temperate,-1.8778,115.4944,Eco-friendly,Extroverted,Sustainability,2,152.39,128,15776.66,632,Mobile app,Books,41726.82,632,128,15776.66,Desktop,iOS,Edge,49.4,Customer support,71,4.1,0.31,10,1,Low,Yes,17/07/2025,17/10/2025
CUST1069,Segment 70,43,Female,73910,Bachelors,Retired,5,Divorced,United States,Urban,Mediterranean,49.4575,-34.2171,Luxury-seeker,Introverted,Price,0,59.32,111,7163.98,507,Online,Sports,19451.1,507,111,7163.98,Mobile,Android,Edge,5.8,Status,50,2.8,0.24,1,1,Medium,Yes,11/11/2024,17/08/2025
CUST1070,Segment 71,70,Male,72515,Associate,Professional,3,Domestic partnership,Australia,Suburban,Temperate,-11.6919,99.952,Health-conscious,Introverted,Innovation,1,82.23,136,10816.42,397,Phone,Home & Garden,30645.84,397,136,10816.42,Desktop,Android,Chrome,32.6,Sustainability,-99,3.5,0.21,17,0,Low,Yes,23/11/2023,14/08/2025
CUST1071,Segment 72,19,Non-binary,75393,Other,Executive,3,Divorced,India,Suburban,Mediterranean,6.5388,-99.0231,Tech-savvy,Spontaneous,Convenience,1,13.28,106,1176.17,119,Online,Electronics,2189.99,119,106,1176.17,Mobile,Other,Edge,39.8,Novelty,19,2,0.42,6,1,Low,Yes,12/08/2024,17/11/2024
CUST1072,Segment 73,37,Prefer not to say,44599,Other,Self-employed,1,Domestic partnership,South Africa,Suburban,Mediterranean,36.2018,107.0066,Eco-friendly,Extroverted,Innovation,0,21.26,186,4245.01,436,Social,Groceries,6952.2,436,186,4245.01,Desktop,Linux,Other,36.9,Customer support,-79,3.8,0.91,11,0,High,Yes,19/10/2022,11/04/2025
CUST1073,Segment 74,45,Non-binary,71968,Bachelors,Executive,4,Single,South Africa,Rural,Polar,-6.3803,-94.3032,Health-conscious,Spontaneous,Convenience,0,8.8,144,1290.06,675,Social,Sports,2792.2,675,144,1290.06,Tablet,macOS,Edge,53.8,Customer support,14,2.7,0.51,25,0,Low,Yes,01/10/2013,19/10/2025
CUST1074,Segment 75,64,Male,73792,Associate,Executive,4,Domestic partnership,United States,Suburban,Mediterranean,18.4295,-18.7596,Health-conscious,Conscientious,Innovation,2,21.89,72,1879.01,464,In-store,Beauty,3273.88,464,72,1879.01,Mobile,Windows,Other,29.4,Status,-44,2.8,0.19,1,0,High,Yes,27/05/2025,11/11/2024
CUST1075,Segment 76,77,Female,43569,Bachelors,Manager,5,Married,Australia,Urban,Tropical,44.86,93.2427,Luxury-seeker,Social,Price,1,168.15,129,19326.21,285,Mobile app,Home & Garden,42559.18,285,129,19326.21,Desktop,iOS,Edge,78,Sustainability,-29,3.6,0.08,26,0,High,No,05/08/2024,17/03/2025
CUST1076,Segment 77,24,Non-binary,120973,Masters,Student,1,Single,Germany,Suburban,Continental,54.4473,-88.0231,Health-conscious,Analytical,Brand,2,16.5,108,1713.56,264,Social,Automotive,4131.69,264,108,1713.56,Desktop,iOS,Other,50,Sustainability,-94,4.7,0.7,19,0,Medium,Yes,12/09/2024,06/05/2025
CUST1077,Segment 78,61,Female,79215,Associate,Student,3,Married,United Kingdom,Urban,Continental,-33.8219,-65.8096,Homebody,Introverted,Brand,3,56.79,5,288.78,319,Mobile app,Automotive,686.38,319,5,288.78,Mobile,Other,Other,49.8,Convenience,83,1.3,0.38,17,0,Low,Yes,05/02/2025,26/01/2025
